Nombre;Nombre Largo;CAEDED;Descripcion
SOCIEDAD INDUSTRIAL Y COMERCIAL TREBOL;SOCIEDAD INDUSTRIAL Y COMERCIAL TREBOL L;74990;OTROS SERV EMPRESARIALES NCP
ESTANCIAS SAN JUAN;ESTANCIAS SAN JUAN;1111;CULTIVO DE CEREALES
ARTESANIAS PUNCHAY;ARTESANIAS PUNCHAY;1129;OTROS CULTIVOS HORTALIZAS,LEGUMBRES Y ES
EMPRESA MINERA CLAVIJO SRL;EMPRESA MINERA CLAVIJO SRL;1111;CULTIVO DE CEREALES
EMPRESA MINERA BERNAL HNOS. LTDA.;EMPRESA MINERA BERNAL HNOS. LTDA.;14290;EXPLOTACION DE OTRAS MINAS Y CANTERAS NC
EMPRESA MINERA YANA MALLCU;EMPRESA MINERA YANA MALLCU;1111;CULTIVO DE CEREALES
FENIX LTDA.;FENIX LTDA.;74990;OTROS SERV EMPRESARIALES NCP
SOCIEDAD MINERA MOTEDE;SOCIEDAD MINERA MOTEDE;1111;CULTIVO DE CEREALES
COMPANIA COMERCIAL INDUSTRIAL BOLIVIANA;COMPANIA COMERCIAL INDUSTRIAL BOLIVIANA;51501;VTA X MAYOR MAQ, EQ, IMPL AGROPECUARIO
TOYOSA S.A.;TOYOSA S.A.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
RESIDENCIAL COPACABANA;RESIDENCIAL COPACABANA;55101;SERV DE ALOJAMIENTO EN HOTELES
CROWN LTDA.;CROWN LTDA.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
CERVECERIA BOLIVIANA NACIONAL S.A.;CERVECERIA BOLIVIANA NACIONAL S.A.;15530;ELAB. DE BEBIDAS MALTEADAS Y DE MALTA
EDITORA HERMENCA LTDA.;EDITORA HERMENCA LTDA.;22210;ACT. DE IMPRESIÓN
SAGIC S.A.;SAGIC S.A.;15530;ELAB. DE BEBIDAS MALTEADAS Y DE MALTA
IFEXPA LTDA.;IFEXPA LTDA.;74990;OTROS SERV EMPRESARIALES NCP
GOMATEX LTDA.;GOMATEX LTDA.;24130;FABRICN. PLÁSTICOS FORMAS PRIMARIAS Y CA
PLASTOFORM LTDA.;PLASTOFORM LTDA.;26950;FABRICN. DE ART. DE HORMIGÓN, CEMENTO Y
MOLINO ANDINO S.A.;MOLINO ANDINO S.A.;15311;PREPARACION Y MOLIENDA DE TRIGO
ASESORAMIENTO Y CONTROL DE CALIDAD S.A.;ASESORAMIENTO Y CONTROL DE CALIDAD S.A.;51341;VTA X MAYOR PROD. FARMACÉUTICOS Y MEDICI
KRYSTIN S.R.L.;KRYSTIN S.R.L.;18101;FABRICN. PRENDAS VESTIR CONFECCIONADAS,
NULO CLUB BISA LA PAZ;NULO CLUB BISA LA PAZ;74990;OTROS SERV EMPRESARIALES NCP
MOBIART S.R.L.;MOBIART S.R.L.;36101;FABRICN. MUEBLES,PARTES MUEBLES,PRINCIPA
SOCIEDAD INDUSTRIAL Y COMERCIAL LA FRANC;"SOCIEDAD INDUSTRIAL Y COMERCIAL ""LA FRANCESA"" S.A.";15411;ELAB. DE PAN
LA PRECISA LTDA.;LA PRECISA LTDA.;28110;FABRICN. PROD.METÁLICOS PARA USO ESTRUCT
SINCHI WAYRA S.A.;SINCHI WAYRA S.A.;13201;EXTRACCIÓN MINERALES METÁLICOS NO FERROS
GRUPO ALCOS S.A.;GRUPO ALCOS S.A.;24230;FABRICN. PROD.FARMACÉUTICOS,SUSTANCIAS Q
HANSA LTDA.;HANSA LTDA.;51109;VTA X MAYOR INTERMDRS DE   MERCADERÍAS N
INDUFOR S.A.;INDUFOR S.A.;22220;ACT. DE SERV RELACIONADAS CON LA IMPRESI
EMPRESA BOLIVIANA DE ADMINISTRACION S.A.;EMPRESA BOLIVIANA DE ADMINISTRACION S.A.;74140;SERV.ASESORAMIENTO Y GESTIÓN EMPRESARIAL
NULO TOYOSA S.A.;NULO TOYOSA S.A.;50101;VENTA DE VEHICULOS AUTOMOTORES NUEVOS
INTERNATIONAL BUSINESS TRADE(BOLIVIA)LTD;INTERNATIONAL BUSINESS TRADE(BOLIVIA)LIMITADA (INBUSTRADE LTDA);51509;VTA X MAYOR MAQ, EQ, IMPL ESPECIAL NCP
PANTUR S.R.L.;PANTUR S.R.L.;63041;SERV DE AGENCIAS DE VIAJES
